Technology,Count,Category
IBM DB2,165,Database Desired
Datomic,147,Database Desired
Presto,140,Database Desired
TiDB,111,Database Desired
RavenDB,99,Database Desired
Amazon Web Services (AWS),10516,Platform Desired
Microsoft Azure,6380,Platform Desired
Google Cloud,5431,Platform Desired
Cloudflare,4219,Platform Desired
Digital Ocean,2908,Platform Desired
Vercel,2776,Platform Desired
Firebase,2720,Platform Desired
Hetzner,1577,Platform Desired
Supabase,1368,Platform Desired
Netlify,1267,Platform Desired
Fly.io,1018,Platform Desired
Heroku,1012,Platform Desired
VMware,868,Platform Desired
"Linode, now Akamai",821,Platform Desired
Managed Hosting,709,Platform Desired
OVH,631,Platform Desired
OpenShift,585,Platform Desired
Databricks,546,Platform Desired
Oracle Cloud Infrastructure (OCI),540,Platform Desired
Render,529,Platform Desired
OpenStack,417,Platform Desired
Vultr,367,Platform Desired
PythonAnywhere,350,Platform Desired
IBM Cloud Or Watson,247,Platform Desired
Alibaba Cloud,237,Platform Desired
Scaleway,195,Platform Desired
Colocation,176,Platform Desired
React,8223,Web Framework Desired
Node.js,8096,Web Framework Desired
Next.js,4458,Web Framework Desired
ASP.NET CORE,4166,Web Framework Desired
Vue.js,3903,Web Framework Desired
Angular,3309,Web Framework Desired
Express,3216,Web Framework Desired
FastAPI,2823,Web Framework Desired
Spring Boot,2674,Web Framework Desired
Svelte,2559,Web Framework Desired
Django,2541,Web Framework Desired
jQuery,2264,Web Framework Desired
Htmx,2103,Web Framework Desired
Flask,2053,Web Framework Desired
ASP.NET,1847,Web Framework Desired
NestJS,1764,Web Framework Desired
Laravel,1735,Web Framework Desired
Blazor,1665,Web Framework Desired
WordPress,1345,Web Framework Desired
Ruby on Rails,1250,Web Framework Desired
Astro,1147,Web Framework Desired
Nuxt.js,1145,Web Framework Desired
Deno,1040,Web Framework Desired
Phoenix,907,Web Framework Desired
AngularJS,794,Web Framework Desired
Solid.js,787,Web Framework Desired
Remix,727,Web Framework Desired
Fastify,683,Web Framework Desired
Symfony,636,Web Framework Desired
Strapi,404,Web Framework Desired
Gatsby,255,Web Framework Desired
Elm,248,Web Framework Desired
Drupal,208,Web Framework Desired
CodeIgniter,183,Web Framework Desired
Play Framework,136,Web Framework Desired
Yii 2,123,Web Framework Desired
